Sandbox logs:
0 , BANANAS, 4952, -30, 4946, 1, 6
0 , PEARLS, 10005, -30, 9998, 1, 7
100 , BANANAS, 4950, -7, 4945, 31, 5
100 , PEARLS, 10002, -6, 9996, 1, 6
200 , BANANAS, 4951, -1, 4945, 22, 6
200 , PEARLS, 10004, -1, 9996, 1, 8
300 , BANANAS, 4952, -25, 4945, 25, 7
300 , PEARLS, 9998, -3, 9996, 2, 2
400 , BANANAS, 4952, -25, 4946, 5, 6
400 , PEARLS, 10004, -2, 9998, 5, 6
500 , BANANAS, 4952, -24, 4945, 24, 7
500 , PEARLS, 10004, -2, 10002, 1, 2
600 , BANANAS, 4950, -9, 4946, 2, 4
600 , PEARLS, 10002, -9, 9996, 2, 6
700 , BANANAS, 4952, -27, 4946, 7, 6
700 , PEARLS, 10005, -27, 9998, 7, 7
800 , BANANAS, 4951, -26, 4944, 26, 7
800 , PEARLS, 10005, -26, 9995, 26, 10
900 , BANANAS, 4950, -29, 4944, 2, 6
900 , PEARLS, 10004, -2, 9996, 2, 8
1000 , BANANAS, 4950, -2, 4944, 28, 6
1000 , PEARLS, 10004, -2, 9996, 2, 8
1100 , BANANAS, 4950, -2, 4944, 25, 6
1100 , PEARLS, 10004, -2, 9996, 2, 8
1200 , BANANAS, 4951, -30, 4945, 9, 6
1200 , PEARLS, 10004, -2, 9998, 9, 6
1300 , BANANAS, 4946, -4, 4944, 28, 2
1300 , PEARLS, 10004, -1, 9996, 1, 8
1400 , BANANAS, 4951, -2, 4945, 25, 6
1400 , PEARLS, 10004, -2, 9996, 2, 8
1500 , BANANAS, 4951, -22, 4950, 1, 1
1500 , PEARLS, 10004, -2, 10002, 1, 2
1600 , BANANAS, 4951, -1, 4945, 23, 6
1600 , PEARLS, 10004, -1, 9996, 1, 8
1700 , BANANAS, 4948, -2, 4945, 27, 3
1700 , PEARLS, 10005, -27, 9995, 27, 10
1800 , BANANAS, 4952, -27, 4946, 2, 6
1800 , PEARLS, 10004, -2, 9996, 2, 8
1900 , BANANAS, 4952, -31, 4945, 31, 7
1900 , PEARLS, 10004, -2, 9996, 2, 8
2000 , BANANAS, 4950, -7, 4945, 26, 5
2000 , PEARLS, 10002, -7, 9996, 1, 6
2100 , BANANAS, 4952, -23, 4945, 23, 7
2100 , PEARLS, 10005, -23, 9995, 23, 10
2200 , BANANAS, 4952, -32, 4945, 32, 7
2200 , PEARLS, 10004, -2, 9996, 2, 8
2300 , BANANAS, 4952, -24, 4946, 2, 6
2300 , PEARLS, 10004, -2, 9996, 2, 8
2400 , BANANAS, 4953, -2, 4951, 3, 2
2400 , PEARLS, 10004, -2, 9998, 4, 6
2500 , BANANAS, 4948, -5, 4947, 1, 1
2500 , PEARLS, 10004, -1, 9996, 1, 8
2600 , BANANAS, 4953, -25, 4946, 25, 7
2600 , PEARLS, 10005, -25, 9995, 25, 10
2700 , BANANAS, 4953, -25, 4947, 10, 6
2700 , PEARLS, 10004, -1, 9998, 4, 6
2800 , BANANAS, 4953, -29, 4952, 1, 1
2800 , PEARLS, 10005, -29, 9998, 5, 7
2900 , BANANAS, 4953, -25, 4946, 25, 7
2900 , PEARLS, 10004, -2, 10002, 10, 2
3000 , BANANAS, 4953, -31, 4946, 31, 7
3000 , PEARLS, 10004, -2, 9996, 2, 8
3100 , BANANAS, 4953, -2, 4947, 27, 6
3100 , PEARLS, 10004, -2, 9996, 2, 8
3200 , BANANAS, 4951, -6, 4947, 2, 4
3200 , PEARLS, 10002, -6, 9996, 2, 6
3300 , BANANAS, 4953, -28, 4946, 28, 7
3300 , PEARLS, 10004, -2, 9996, 2, 8
3400 , BANANAS, 4953, -29, 4946, 29, 7
3400 , PEARLS, 10004, -2, 9996, 2, 8
3500 , BANANAS, 4951, -9, 4946, 30, 5
3500 , PEARLS, 10002, -9, 9996, 2, 6
3600 , BANANAS, 4954, -21, 4947, 21, 7
3600 , PEARLS, 9998, -1, 9995, 21, 3
3700 , BANANAS, 4952, -6, 4947, 31, 5
3700 , PEARLS, 10000, -5, 9996, 2, 4
3800 , BANANAS, 4953, -1, 4947, 30, 6
3800 , PEARLS, 10004, -1, 10002, 1, 2
3900 , BANANAS, 4954, -25, 4948, 1, 6
3900 , PEARLS, 10005, -25, 9998, 1, 7
4000 , BANANAS, 4953, -2, 4947, 29, 6
4000 , PEARLS, 10004, -2, 10002, 9, 2
4100 , BANANAS, 4953, -24, 4946, 24, 7
4100 , PEARLS, 10004, -1, 9996, 1, 8
4200 , BANANAS, 4947, -12, 4946, 28, 1
4200 , PEARLS, 10004, -2, 9996, 2, 8
4300 , BANANAS, 4952, -2, 4946, 31, 6
4300 , PEARLS, 10004, -2, 9996, 2, 8
4400 , BANANAS, 4953, -27, 4946, 26, 7
4400 , PEARLS, 9998, -1, 9996, 1, 2
4500 , BANANAS, 4953, -27, 4946, 27, 7
4500 , PEARLS, 10005, -27, 9995, 27, 10
4600 , BANANAS, 4953, -22, 4946, 22, 7
4600 , PEARLS, 10004, -1, 9996, 1, 8
4700 , BANANAS, 4947, -8, 4946, 27, 1
4700 , PEARLS, 10004, -1, 9998, 4, 6
4800 , BANANAS, 4952, -1, 4951, 1, 1
4800 , PEARLS, 10004, -1, 10002, 3, 2
4900 , BANANAS, 4952, -22, 4946, 22, 6
4900 , PEARLS, 9998, -4, 9995, 22, 3
5000 , BANANAS, 4953, -23, 4947, 4, 6
5000 , PEARLS, 10004, -1, 9998, 3, 6
5100 , BANANAS, 4948, -2, 4947, 9, 1
5100 , PEARLS, 10005, -25, 10002, 1, 3
5200 , BANANAS, 4953, -24, 4947, 2, 6
5200 , PEARLS, 10004, -2, 9996, 2, 8
5300 , BANANAS, 4954, -25, 4947, 25, 7
5300 , PEARLS, 10005, -25, 9995, 25, 10
5400 , BANANAS, 4952, -8, 4947, 27, 5
5400 , PEARLS, 10000, -6, 9995, 27, 5
5500 , BANANAS, 4954, -30, 4947, 30, 7
5500 , PEARLS, 10004, -1, 9996, 1, 8
5600 , BANANAS, 4953, -27, 4947, 9, 6
5600 , PEARLS, 10004, -1, 10002, 1, 2
5700 , BANANAS, 4954, -25, 4950, 2, 4
5700 , PEARLS, 10004, -2, 9998, 4, 6
5800 , BANANAS, 4954, -24, 4953, 1, 1
5800 , PEARLS, 10005, -24, 10002, 1, 3
5900 , BANANAS, 4954, -21, 4947, 21, 7
5900 , PEARLS, 10004, -1, 10000, 5, 4
6000 , BANANAS, 4953, -2, 4947, 24, 6
6000 , PEARLS, 9998, -4, 9996, 2, 2
6100 , BANANAS, 4952, -2, 4947, 25, 5
6100 , PEARLS, 10000, -5, 9996, 1, 4
6200 , BANANAS, 4948, -13, 4947, 30, 1
6200 , PEARLS, 10004, -1, 9996, 1, 8
6300 , BANANAS, 4948, -1, 4947, 25, 1
6300 , PEARLS, 10005, -25, 9995, 25, 10
6400 , BANANAS, 4954, -23, 4947, 23, 7
6400 , PEARLS, 10005, -23, 10000, 4, 5
6500 , BANANAS, 4954, -20, 4947, 20, 7
6500 , PEARLS, 10005, -20, 9995, 20, 10
6600 , BANANAS, 4955, -27, 4948, 27, 7
6600 , PEARLS, 10004, -1, 9996, 1, 8
6700 , BANANAS, 4954, -2, 4948, 28, 6
6700 , PEARLS, 10004, -2, 10002, 4, 2
6800 , BANANAS, 4954, -24, 4948, 1, 6
6800 , PEARLS, 10004, -1, 9998, 1, 6
6900 , BANANAS, 4954, -28, 4952, 1, 2
6900 , PEARLS, 10005, -28, 9995, 28, 10
7000 , BANANAS, 4954, -29, 4948, 7, 6
7000 , PEARLS, 10004, -2, 10000, 6, 4
7100 , BANANAS, 4954, -30, 4947, 30, 7
7100 , PEARLS, 10004, -1, 9996, 1, 8
7200 , BANANAS, 4954, -23, 4947, 23, 7
7200 , PEARLS, 10004, -2, 9996, 2, 8
7300 , BANANAS, 4952, -4, 4947, 25, 5
7300 , PEARLS, 10002, -4, 9996, 2, 6
7400 , BANANAS, 4953, -2, 4947, 30, 6
7400 , PEARLS, 10004, -2, 10002, 1, 2
7500 , BANANAS, 4953, -29, 4947, 29, 6
7500 , PEARLS, 10005, -29, 9995, 29, 10
7600 , BANANAS, 4953, -26, 4946, 26, 7
7600 , PEARLS, 10004, -2, 9996, 2, 8
7700 , BANANAS, 4952, -28, 4951, 1, 1
7700 , PEARLS, 10005, -28, 9995, 28, 10
7800 , BANANAS, 4952, -1, 4951, 1, 1
7800 , PEARLS, 10004, -1, 9996, 1, 8
7900 , BANANAS, 4950, -4, 4946, 1, 4
7900 , PEARLS, 10002, -4, 9996, 1, 6
8000 , BANANAS, 4952, -23, 4945, 23, 7
8000 , PEARLS, 10004, -1, 9996, 1, 8
8100 , BANANAS, 4952, -22, 4945, 22, 7
8100 , PEARLS, 10005, -22, 9995, 22, 10
8200 , BANANAS, 4950, -2, 4949, 2, 1
8200 , PEARLS, 9998, -1, 9995, 20, 3
8300 , BANANAS, 4952, -27, 4946, 6, 6
8300 , PEARLS, 10004, -1, 10002, 1, 2
8400 , BANANAS, 4951, -26, 4945, 26, 6
8400 , PEARLS, 10005, -26, 9995, 26, 10
8500 , BANANAS, 4951, -30, 4947, 5, 4
8500 , PEARLS, 10005, -30, 9995, 30, 10
8600 , BANANAS, 4951, -23, 4944, 23, 7
8600 , PEARLS, 10004, -1, 9996, 1, 8
8700 , BANANAS, 4946, -1, 4945, 30, 1
8700 , PEARLS, 10004, -1, 9996, 1, 8
8800 , BANANAS, 4947, -4, 4945, 23, 2
8800 , PEARLS, 9998, -12, 9995, 23, 3
8900 , BANANAS, 4952, -27, 4945, 27, 7
8900 , PEARLS, 10004, -1, 10002, 5, 2
9000 , BANANAS, 4950, -7, 4945, 23, 5
9000 , PEARLS, 10002, -7, 9995, 23, 7
9100 , BANANAS, 4949, -3, 4946, 31, 3
9100 , PEARLS, 10004, -1, 9996, 1, 8
9200 , BANANAS, 4950, -3, 4945, 24, 5
9200 , PEARLS, 10002, -3, 9995, 24, 7
9300 , BANANAS, 4952, -23, 4945, 23, 7
9300 , PEARLS, 10005, -23, 9995, 23, 10
9400 , BANANAS, 4952, -24, 4946, 24, 6
9400 , PEARLS, 10004, -2, 9996, 2, 8
9500 , BANANAS, 4952, -29, 4946, 10, 6
9500 , PEARLS, 10004, -1, 9998, 9, 6
9600 , BANANAS, 4946, -1, 4945, 20, 1
9600 , PEARLS, 10005, -20, 9995, 20, 10
9700 , BANANAS, 4952, -25, 4946, 3, 6
9700 , PEARLS, 10005, -25, 9998, 3, 7
9800 , BANANAS, 4950, -5, 4945, 21, 5
9800 , PEARLS, 10002, -5, 9995, 21, 7
9900 , BANANAS, 4952, -22, 4945, 22, 7
9900 , PEARLS, 10005, -22, 9995, 22, 10
10000 , BANANAS, 4952, -31, 4946, 8, 6
10000 , PEARLS, 10004, -2, 9998, 8, 6
10100 , BANANAS, 4952, -22, 4945, 22, 7
10100 , PEARLS, 10005, -22, 9995, 22, 10
10200 , BANANAS, 4952, -2, 4946, 25, 6
10200 , PEARLS, 10004, -2, 9996, 2, 8
10300 , BANANAS, 4947, -4, 4946, 2, 1
10300 , PEARLS, 10004, -2, 9996, 2, 8
10400 , BANANAS, 4953, -30, 4946, 30, 7
10400 , PEARLS, 10005, -30, 9995, 30, 10
10500 , BANANAS, 4952, -28, 4946, 4, 6
10500 , PEARLS, 10004, -1, 9998, 4, 6
